PP.1,PP.2,PP.3,PP.5,PP.6,PP.7,PP1.5,PP1.6,PP1.7,PP1.8,PP1.9,PP2.0,PP100,PP150,PP200,PP250,PP300,PP350,PP750,PP800,PP850,PP900,PP950,PP1000,PP0.15,PP0.145,PP0.14,PP0.135,PP0.13,PP0.12,PP0.075,PP0.07,PP0.065,PP0.06,PP0.055,PP0.05,PP.8,PP.9,PP1.0,PP1.1,PP1.2,PP1.3,PP1.4,PP400,PP450,PP500,PP550,PP600,PP650,PP700,PP0.115,PP0.11,PP0.095,PP0.09,PP0.085,PP0.08,Fault Class
0.929374054,0.942006353,0.947268491,0.947945148,0.948288932,0.948443397,0.949278362,0.949803859,0.950340527,0.949874696,0.950540783,0.950570632,0.929910685,0.929893229,0.929852831,0.929789436,0.929849628,0.929803088,0.929586911,0.929534578,0.929490105,0.929463282,0.929446169,0.929374054,0.856481193,0.863488432,0.872304593,0.883544466,0.898807559,0.935928034,0.925553509,0.924800421,0.924283037,0.924168359,0.924582799,0.925496984,0.948462409,0.94843217,0.94835862,0.948254946,0.948068806,0.948316528,0.948829929,0.929827127,0.929774764,0.929766795,0.929707996,0.929738524,0.929623609,0.929591158,0.934537099,0.933115668,0.927817655,0.926314924,0.925658933,0.92636123,-1
0.931743793,0.945035879,0.950737209,0.951517297,0.951910239,0.952110105,0.953090838,0.95362741,0.954181711,0.953717838,0.954408279,0.954453073,0.93232371,0.932305904,0.93226183,0.932193684,0.932249565,0.932197526,0.931962669,0.931909714,0.931861959,0.931834562,0.931816501,0.931743793,0.856137268,0.863132324,0.87194444,0.883200945,0.898508847,0.938812351,0.927460997,0.926616723,0.926000552,0.925794983,0.926130902,0.926978771,0.952162218,0.952156866,0.95210247,0.952013913,0.951841784,0.952107271,0.952632102,0.932216817,0.932159358,0.932147958,0.932088107,0.932118143,0.932002085,0.931967689,0.937277322,0.935701049,0.930042215,0.928393587,0.927626516,0.928317926,-1
0.933578415,0.947461921,0.953553306,0.954424174,0.954859723,0.955099005,0.95620725,0.956753112,0.957324482,0.95686098,0.957575799,0.957634645,0.934201919,0.93418422,0.934136469,0.934063808,0.934115644,0.934058205,0.933804041,0.933750199,0.933699227,0.933671186,0.933651933,0.933578415,0.855818966,0.8628029,0.871612354,0.882887219,0.898243229,0.941065267,0.928986559,0.928082451,0.927400813,0.927138358,0.927429671,0.928244682,0.955179979,0.955196106,0.955158176,0.955082576,0.954923121,0.955206154,0.955739939,0.934072659,0.934010075,0.933994992,0.933933953,0.933963762,0.933846228,0.933809726,0.939409937,0.937703421,0.931759968,0.929995139,0.929148297,0.929863015,-1
0.934871682,0.949275222,0.955705347,0.956653793,0.957125043,0.957397481,0.958613946,0.95916723,0.959754946,0.959290217,0.960029203,0.960101072,0.93553873,0.93552153,0.935470124,0.935393215,0.935441307,0.935378611,0.935104716,0.935049737,0.934995639,0.934966889,0.934946216,0.934871682,0.85552159,0.862495564,0.871303819,0.882598808,0.898006178,0.942677901,0.930124821,0.929192441,0.928478949,0.928193756,0.928474332,0.929289757,0.957502861,0.957536901,0.957512616,0.957447709,0.957299476,0.957599668,0.95813986,0.935388194,0.9353205,0.935301523,0.93523918,0.935269021,0.935149697,0.935110955,0.940926897,0.939115622,0.932965409,0.931114746,0.930219819,0.93099132,-1
0.935622463,0.950472406,0.957188333,0.958200745,0.958700516,0.958999641,0.960304204,0.960862985,0.961466167,0.960998622,0.961761333,0.961845069,0.936332677,0.9363163,0.936261287,0.936180422,0.9362251,0.936157336,0.935863484,0.935807137,0.935750025,0.935720511,0.935698208,0.935622463,0.855240594,0.862205847,0.871014426,0.882331317,0.897793223,0.943647491,0.930874001,0.929944798,0.929232973,0.928958952,0.929262269,0.930110869,0.95912481,0.95917307,0.959159512,0.959102949,0.958964388,0.959281189,0.9598252,0.936162066,0.936089319,0.936066281,0.936002531,0.936032661,0.935911258,0.935870163,0.941826018,0.939936087,0.933657844,0.931752079,0.930840812,0.931701538,-1
0.93583463,0.951055877,0.958003614,0.959066114,0.95958703,0.959906233,0.961278159,0.961840469,0.962458094,0.961986168,0.96277194,0.962866278,0.936587298,0.936572007,0.93651346,0.936428952,0.936470574,0.936397966,0.936084132,0.936026204,0.935966214,0.93593589,0.935911767,0.93583463,0.854971614,0.861929446,0.870739907,0.88208047,0.897599982,0.943977285,0.931235837,0.930340821,0.929663707,0.929434164,0.929792972,0.930706689,0.960046456,0.960105158,0.96009934,0.960048716,0.959918196,0.960250902,0.960796127,0.936397914,0.936320213,0.936292991,0.93622775,0.936258416,0.936134669,0.936091134,0.94211087,0.940168746,0.933841286,0.931911208,0.931015086,0.931996151,-1
0.935516906,0.951033671,0.958158739,0.959257325,0.959791898,0.960124497,0.961542655,0.962106507,0.962737422,0.962259588,0.963067543,0.963171121,0.936310986,0.936296993,0.936235006,0.93614719,0.936186133,0.936108946,0.935775296,0.935715597,0.935652883,0.935621713,0.935595598,0.935516906,0.854710493,0.861662245,0.870476166,0.88184214,0.897422192,0.943676397,0.931215474,0.930384899,0.929774696,0.929621972,0.930067974,0.931077637,0.960274977,0.960340297,0.960339194,0.960292072,0.960167897,0.96051566,0.961059503,0.936104224,0.936021711,0.935990227,0.935923425,0.935954867,0.935828539,0.935782504,0.941790626,0.93982286,0.933524302,0.931600457,0.930750394,0.931881309,-1
0.934682673,0.950419255,0.957667257,0.958787945,0.959328657,0.959667969,0.961111047,0.961674454,0.962317388,0.961832174,0.962661234,0.962772608,0.935516802,0.935504278,0.935438967,0.935348193,0.935384852,0.935303382,0.934950266,0.934888627,0.934823366,0.934791322,0.934763067,0.934682673,0.8544533,0.861400338,0.870219292,0.881612365,0.897255732,0.942759589,0.930821331,0.930084391,0.929572103,0.929527241,0.930090791,0.931225839,0.959823889,0.959891998,0.959892578,0.959846512,0.959726943,0.960088779,0.96062868,0.935294147,0.935207001,0.935171219,0.935102806,0.935135251,0.935006134,0.934957563,0.940879856,0.938912826,0.932719832,0.930832223,0.930058265,0.931366682,-1
0.933349744,0.949231287,0.95654846,0.957677427,0.958216809,0.958556214,0.960002943,0.960563936,0.961217516,0.960723516,0.961572416,0.961690076,0.93422224,0.934211329,0.934142834,0.934049464,0.934084245,0.933998818,0.933626766,0.933563042,0.933495425,0.933462491,0.93343197,0.933349744,0.854196347,0.861140041,0.86996558,0.881387374,0.897096646,0.941247022,0.930064936,0.929449481,0.92906459,0.929157028,0.929866852,0.931155086,0.958712792,0.958779892,0.958779149,0.95873171,0.95861498,0.958989784,0.959523243,0.933985268,0.933893706,0.933853631,0.933783573,0.933817235,0.933685152,0.933634035,0.939398274,0.937457926,0.931444961,0.929622765,0.928953802,0.930465285,-1
0.9315401,0.947493327,0.954827081,0.9559508,0.956481512,0.956814522,0.958243886,0.958800536,0.959463299,0.958959191,0.959826493,0.959948877,0.932448975,0.932439804,0.932368286,0.932272694,0.932306011,0.932216978,0.931826682,0.931760753,0.931690988,0.931657156,0.931624266,0.9315401,0.853936206,0.860877918,0.869711554,0.881163602,0.896941167,0.939163958,0.928960743,0.928493011,0.928263187,0.928520478,0.929403428,0.930870779,0.956967057,0.95702942,0.957024402,0.956973205,0.956857538,0.957244096,0.957768696,0.932199345,0.932103617,0.932059295,0.931987575,0.932022653,0.931887458,0.931833809,0.937370453,0.935482045,0.929720675,0.927991965,0.927455463,0.929193274,-1
